Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Newcastle,Liverpool,26-11-2000,Newcastle,Liverpool,2-1,1-0,2,1,1,0,Newcastle,Newcastle,Yes,W,2,W,L,3,0,6,0,9,0,3.47167,5.61095,3.78333,5.82840,9
Arsenal,Southampton,02-12-2000,Arsenal,Southampton,1-0,0-0,1,0,0,0,Arsenal,Draw,Draw,W,2,W,L,3,0,1,0,4,0,6.11391,3.30000,5.85799,3.13725,4
Aston Villa,Newcastle,02-12-2000,Aston Villa,Newcastle,1-1,1-0,1,1,1,0,Draw,Aston Villa,No,D,1,D,D,1,1,0,0,1,1,3.27303,3.47167,3.15132,3.16000,0
Bradford,Coventry,02-12-2000,Bradford,Coventry,2-1,0-0,2,1,0,0,Bradford,Draw,Draw,W,2,W,L,3,0,1,0,4,0,1.42105,2.60526,1.89474,2.89474,4
Charlton,Liverpool,02-12-2000,Liverpool,Charlton,3-0,1-0,3,0,1,0,Liverpool,Liverpool,Yes,L,0,W,L,3,0,8,0,11,0,3.31955,5.61095,5.39349,3.11278,-11
Coventry,Bradford,02-12-2000,Bradford,Coventry,2-1,0-0,2,1,0,0,Bradford,Draw,Draw,L,0,W,L,3,0,1,0,4,0,2.60526,1.42105,1.89474,2.89474,-4
Derby,Ipswich,02-12-2000,Ipswich,Derby,0-1,0-1,0,1,0,1,Derby,Derby,Yes,W,2,L,W,0,8,0,6,0,14,1.83333,3.63158,3.31579,1.36842,14
Ipswich,Derby,02-12-2000,Ipswich,Derby,0-1,0-1,0,1,0,1,Derby,Derby,Yes,L,0,L,W,0,8,0,6,0,14,3.63158,1.83333,3.31579,1.36842,-14
Leeds,Leicester,02-12-2000,Leicester,Leeds,3-1,3-0,3,1,3,0,Leicester,Leicester,Yes,L,0,W,L,3,0,7,0,10,0,4.25658,3.27132,3.45736,4.98684,-10
Leicester,Leeds,02-12-2000,Leicester,Leeds,3-1,3-0,3,1,3,0,Leicester,Leicester,Yes,W,2,W,L,3,0,7,0,10,0,3.27132,4.25658,3.45736,4.98684,10
Liverpool,Charlton,02-12-2000,Liverpool,Charlton,3-0,1-0,3,0,1,0,Liverpool,Liverpool,Yes,W,2,W,L,3,0,8,0,11,0,5.61095,3.31955,5.39349,3.11278,11
Man United,Tottenham,02-12-2000,Man United,Tottenham,2-0,1-0,2,0,1,0,Man United,Man United,Yes,W,2,W,L,3,0,7,0,10,0,6.81657,4.57396,6.56509,4.36391,10
Middlesbrough,West Ham,02-12-2000,West Ham,Middlesbrough,1-0,1-0,1,0,1,0,West Ham,West Ham,Yes,L,0,W,L,3,0,6,0,9,0,3.09211,3.20641,3.37500,2.78947,-9
Newcastle,Aston Villa,02-12-2000,Aston Villa,Newcastle,1-1,1-0,1,1,1,0,Draw,Aston Villa,No,D,1,D,D,1,1,0,0,1,1,3.47167,3.27303,3.15132,3.16000,0
